Work,Theme,Type
Strange Case of Dr Jekyll and Mr Hyde,friendship,major
Strange Case of Dr Jekyll and Mr Hyde,chemicals,major
Strange Case of Dr Jekyll and Mr Hyde,the human capacity for good and evil,major
Strange Case of Dr Jekyll and Mr Hyde,blackmail,minor
Strange Case of Dr Jekyll and Mr Hyde,murder,minor
Strange Case of Dr Jekyll and Mr Hyde,falling out of friendship,minor
Strange Case of Dr Jekyll and Mr Hyde,reclusiveness,minor
Strange Case of Dr Jekyll and Mr Hyde,master and servant,minor
Strange Case of Dr Jekyll and Mr Hyde,suicide,minor
Strange Case of Dr Jekyll and Mr Hyde,The Hippocratic Oath,minor
Strange Case of Dr Jekyll and Mr Hyde,what if I underwent a physical metamorphosis,minor
Strange Case of Dr Jekyll and Mr Hyde,scientist occupation,minor
Strange Case of Dr Jekyll and Mr Hyde,legal occupation,minor
The Buried Giant,coming to terms with one's own death,choice
The Buried Giant,old-age love,choice
The Buried Giant,reasons for war,choice
The Buried Giant,the horrors of war,choice
The Buried Giant,hate begets hate,choice
The Buried Giant,coping with aging,choice
The Buried Giant,healing after social upheaval,choice
The Buried Giant,remembrance,choice
The Buried Giant,the nature of memory,choice
The Buried Giant,vendetta,major
The Buried Giant,what if we all lost our memories,major
The Buried Giant,genocide,minor
The Driver's Seat,mental illness,choice
The Driver's Seat,contemplating suicide,choice
The Driver's Seat,is there a purpose to life,choice
The Driver's Seat,pathological lying,major
The Driver's Seat,sadomasochism,major
The Fall,coping with mortality,choice
The Fall,nihilism,choice
The Fall,the desire for fame,major
The Fall,vanity,major
The Fall,womanizing man,major
The Fall,contempt,major
The Fall,what it is like in a legal proceeding,major
The Fall,romantic love,major
The Fall,legal occupation,major
The Fall,embarrassment,minor
The Futurological Congress,overpopulated dystopia,choice
The Futurological Congress,lawless anarchy dystopia,choice
The Futurological Congress,drugged up dystopia,choice
The Futurological Congress,what if I found myself in the future,choice
The Futurological Congress,overpopulated world,major
The Futurological Congress,past point of view,major
The Futurological Congress,government secrecy,major
The Futurological Congress,security vs. freedom,major
The Futurological Congress,terrorism,major
The Futurological Congress,brain transplant,minor
The Futurological Congress,planetary weather control system,minor
The Futurological Congress,the human capacity for good and evil,minor
The Futurological Congress,parody on life in academia,minor
The Invisible Man,personal invisibility cloak,choice
The Invisible Man,invisibility ability,choice
The Invisible Man,psychopathy,major
The Invisible Man,coping with being an outcast,major
The Invisible Man,the making of a monster to society,major
The Invisible Man,chemicals,minor
The Invisible Man,scientist occupation,minor
The Invisible Man,theft,minor
The Invisible Man,physics,minor
The Invisible Man,remorse,minor
The Invisible Man,the desire for vengeance,minor
The Invisible Man,betrayal,minor
The Invisible Man,husband and wife,minor
The Invisible Man,the lust for power,minor
The Island of Doctor Moreau,species uplifting,choice
The Island of Doctor Moreau,mad scientist stereotype,major
The Island of Doctor Moreau,animal cruelty,major
The Island of Doctor Moreau,hybrid being,major
The Island of Doctor Moreau,indoctrination in society,major
The Island of Doctor Moreau,human vs. self,major
The Island of Doctor Moreau,human nature,major
The Island of Doctor Moreau,maker and monster,major
The Island of Doctor Moreau,vivisection,major
The Island of Doctor Moreau,the desire to be human,major
The Island of Doctor Moreau,stranded at sea,minor
The Island of Doctor Moreau,inebriated interaction,minor
The Moon Is a Harsh Mistress,sentient computer,choice
The Moon Is a Harsh Mistress,revolution in society,choice
The Moon Is a Harsh Mistress,free market vs. regulated market,major
The Moon Is a Harsh Mistress,colonization of the Moon,major
The Moon Is a Harsh Mistress,biased sex-ratio society,major
The Moon Is a Harsh Mistress,resistance movement,major
The Moon Is a Harsh Mistress,diplomacy,major
The Moon Is a Harsh Mistress,interplanetary war,major
The Moon Is a Harsh Mistress,war,major
The Moon Is a Harsh Mistress,polyamorous relationship,major
The Moon Is a Harsh Mistress,friendship,major
The Moon Is a Harsh Mistress,off-world prison colony,minor
The Moon Is a Harsh Mistress,underground city,minor
The Moon Is a Harsh Mistress,the nature of humor,minor
The Moon Is a Harsh Mistress,polygamy,minor
The Moon Is a Harsh Mistress,the Salem witch trials,minor
The Moon Is a Harsh Mistress,vegetarianism,minor
The Moon Is a Harsh Mistress,electromagnetic catapult,minor
The Moon Is a Harsh Mistress,husband and wife,minor
The Moon Is a Harsh Mistress,solar power,minor
The Moon Is a Harsh Mistress,fusion power,minor
The Moon Is a Harsh Mistress,nuclear weapons,minor
The Moon Is a Harsh Mistress,what if I found myself in a high gravity environment,minor
The Moon Is a Harsh Mistress,speculative spaceship,minor
The Moon Is a Harsh Mistress,interplanetary space travel,minor
The Moon Is a Harsh Mistress,noble lies in society,minor
The Moon Is a Harsh Mistress,taxation in society,minor
The Moon Is a Harsh Mistress,human overpopulation,minor
The Moon Is a Harsh Mistress,freedom of the press,minor
The Moon Is a Harsh Mistress,missing hand,minor
The Time Machine,time machine,choice
The Time Machine,time travel,choice
The Time Machine,the future of human evolution,choice
The Time Machine,atrophied civilization,major
The Time Machine,multi-species civilization,major
The Time Machine,what if I could never go home,major
The Time Machine,social inequality,major
The Time Machine,four-dimensional space,minor
The Time Machine,utopia,minor
The War of the Worlds,attack from outer space by a genocidal enemy,choice
The War of the Worlds,Martian extraterrestrial,major
The War of the Worlds,facing an invading force,major
The War of the Worlds,imperialism,major
The War of the Worlds,the horrors of war,major
The War of the Worlds,facing an overpowering adversary,major
The War of the Worlds,interplanetary space travel,minor
The War of the Worlds,husband and wife,minor
